"Reference","Journal_name","Publication_year","Experiment_year","IF","Data_details","Variable_name","Variable_identity","Plant_species","Plant_status","Herbivore_feeding_guild","cor","n","zr","var"
"Gossner et al. 2014","Plos One",2014,2009,3.3,"Data from Figure 2","Percentage of total leaves_sucking damage_canopy","Herbivory","Fagus sylvatica","Native","Sap feeders",0.906988555496359,3,1.51027902975425,1
"Gossner et al. 2014","Plos One",2014,2009,3.3,"Data from Figure 2","Percentage of total leaves_sucking damage_understorey","Herbivory","Fagus sylvatica","Native","Sap feeders",-0.953089279084476,3,-1.86446070168507,1
"Guo et al. 2025","Unpublished paper",2025,2019,NA,NA,"Leaf area damage (%)","Herbivory","Spartina alterniflora","Non-native","Defoliators",0.129940479004909,125,0.130679306313394,0.00819672131147541
"Guo et al. 2025","Unpublished paper",2025,2019,NA,NA,"Leaf area damage frequency","Herbivory","Spartina alterniflora","Non-native","Defoliators",0.0610752849122839,125,0.0611513961450485,0.00819672131147541
"Harms & Cronin 2020","Scientific Reports",2020,2015,4.3,"Data from Fgure 1a","ln(A. hygrophila per stem) resid.","Herbivory","Alternanthera philoxeroides","Non-native","Defoliators",-0.706395687254266,6,-0.879952826969322,0.333333333333333
"Harms & Cronin 2020","Scientific Reports",2020,2016,4.3,"Data from Fgure 1a","ln(A. hygrophila per stem) resid.","Herbivory","Alternanthera philoxeroides","Non-native","Defoliators",-0.18139916545351,12,-0.183429082465111,0.111111111111111
"Harms & Cronin 2020","Scientific Reports",2020,2017,4.3,"Data from Fgure 1a","ln(A. hygrophila per stem) resid.","Herbivory","Alternanthera philoxeroides","Non-native","Defoliators",-0.385810114672313,8,-0.406868014067801,0.2
"Harms & Cronin 2020","Scientific Reports",2020,2018,4.3,"Data from Fgure 1a","ln(A. hygrophila per stem) resid.","Herbivory","Alternanthera philoxeroides","Non-native","Defoliators",-0.479034594970949,8,-0.521730607384675,0.2
"Harvey et al. 2013","Oecologia",2013,2009,2.8,"Data from Figure 2(b)","% Leaf damage","Herbivory","Senecio madagascariensis","Non-native","All folivores",-0.0391885461934667,6,-0.0392086258664683,0.333333333333333
"Harvey et al. 2013","Oecologia",2013,2009,2.8,"Data from Figure 2(b)","% Leaf damage","Herbivory","Senecio pinnatifolius","Native","All folivores",0.350452685334024,6,0.365959728203064,0.333333333333333
"Harvey et al. 2013","Oecologia",2013,2009,2.8,"Data from Figure 3(d)","Abundance (per unit biomass)","Herbivore abundance","Senecio madagascariensis","Non-native","All folivores",0.222613009398254,6,0.226403687260718,0.333333333333333
"Harvey et al. 2013","Oecologia",2013,2009,2.8,"Data from Figure 3(d)","Abundance (per unit biomass)","Herbivore abundance","Senecio pinnatifolius","Native","All folivores",0.453733847676416,6,0.489392138764371,0.333333333333333
"Heatwole et al. 1999","Selbyana",1999,NA,NA,"Data from Kozlov et al. 2015c Global Ecology and Biogeography Appendix S3","Leaf area damage (%)","Herbivory","Angophora floribunda","Native","All folivores",0.996057990409912,3,3.11361943411786,1
"Heatwole et al. 1999","Selbyana",1999,NA,NA,"Data from Kozlov et al. 2015c Global Ecology and Biogeography Appendix S3","Leaf area damage (%)","Herbivory","Eucalyptus camaldulensis","Native","All folivores",0.24495218242318,4,0.250035659343338,1
"Heatwole et al. 1999","Selbyana",1999,NA,NA,"Data from Kozlov et al. 2015c Global Ecology and Biogeography Appendix S3","Leaf area damage (%)","Herbivory","Eucalyptus melliodora","Native","All folivores",-0.928501009513892,3,-1.64740748529715,1
"Heatwole et al. 1999","Selbyana",1999,NA,NA,"Data from Kozlov et al. 2015c Global Ecology and Biogeography Appendix S3","Leaf area damage (%)","Herbivory","Eucalyptus populnea","Native","All folivores",0.948654691840332,3,1.81816047473359,1
"Heatwole et al. 1999","Selbyana",1999,NA,NA,"Data from Kozlov et al. 2015c Global Ecology and Biogeography Appendix S3","Losses","Herbivory","Angophora floribunda","Native","Defoliators",0.908889919721258,3,1.52110435468728,1
"Heatwole et al. 1999","Selbyana",1999,NA,NA,"Data from Kozlov et al. 2015c Global Ecology and Biogeography Appendix S3","Losses","Herbivory","Eucalyptus camaldulensis","Native","Defoliators",0.0612938552294136,4,0.061370787766925,1
"Heatwole et al. 1999","Selbyana",1999,NA,NA,"Data from Kozlov et al. 2015c Global Ecology and Biogeography Appendix S3","Losses","Herbivory","Eucalyptus melliodora","Native","Defoliators",-0.952764169582621,3,-1.86092422353245,1
"Heatwole et al. 1999","Selbyana",1999,NA,NA,"Data from Kozlov et al. 2015c Global Ecology and Biogeography Appendix S3","Losses","Herbivory","Eucalyptus populnea","Native","Defoliators",0.980523095301558,3,2.31094344456888,1
"Hinz et al. 2012","Biological Invasions",2012,2002,3.1,"Data from Figure 3","% shoot attack","Herbivory","Lepidium draba","Non-native","Stem feeders",0.313672686698037,27,0.324613712053099,0.0416666666666667
"Hinz et al. 2012","Biological Invasions",2012,2003,3.1,"Data from Figure 3","% shoot attack","Herbivory","Lepidium draba","Native","Stem feeders",0.0512196806203341,16,0.0512645421108798,0.0769230769230769
"Hinz et al. 2012","Biological Invasions",2012,2003,3.1,"Data from Figure 3","% shoot attack","Herbivory","Lepidium draba","Non-native","Stem feeders",-0.0915986116170934,26,-0.0918560891707815,0.0434782608695652
"Hiura & Nakamura 2013","Basic and Applied Ecology",2013,2005,3.5,"Data from Figure 2(A)","Chewing herbivory","Herbivory","Fagus crenata","Native","Defoliators",0.450518007764535,19,0.48535000811336,0.0625
"Hiura & Nakamura 2013","Basic and Applied Ecology",2013,2005,3.5,"Data from Figure 2(C)","Log mine density","Herbivore abundance","Fagus crenata","Native","Miners",-0.321071367485926,20,-0.332841156565639,0.0588235294117647
"Hiura & Nakamura 2013","Basic and Applied Ecology",2013,2005,3.5,"Data from Figure 2(E)","Log gall density","Herbivore abundance","Fagus crenata","Native","Gallers",-0.194569054624119,20,-0.197081652765815,0.0588235294117647
"Hiura & Nakamura 2013","Basic and Applied Ecology",2013,2006,3.5,"Data from Figure 2(B)","Chewing herbivory","Herbivory","Fagus crenata","Native","Defoliators",0.580986501329019,10,0.663950581656244,0.142857142857143
"Hiura & Nakamura 2013","Basic and Applied Ecology",2013,2006,3.5,"Data from Figure 2(D)","Log mine density","Herbivore abundance","Fagus crenata","Native","Miners",-0.748899291155152,8,-0.970443901714085,0.2
"Hiura & Nakamura 2013","Basic and Applied Ecology",2013,2006,3.5,"Data from Figure 2(F)","Log gall density","Herbivore abundance","Fagus crenata","Native","Gallers",-0.526818300732644,9,-0.585730925094687,0.166666666666667
"Johnstone 1981","Biotropica",1981,1981,2.3,"Data from Table 5","Leaf area eaten (%)","Herbivory","Avicennia marina","Native","Defoliators",0.897151805527671,3,1.45742746487428,1
"Kambo & Kotanen 2014","Biological Invasions",2014,2010,3.1,"Data from Figure 2","Blotch Damage","Herbivory","Arctium minus","Non-native","Miners",-0.408833107005789,26,-0.434209344328745,0.0434782608695652
"Kambo & Kotanen 2014","Biological Invasions",2014,2010,3.1,"Data from Figure 2","Herbivore Damage (proportion)","Herbivory","Arctium minus","Non-native","All folivores",-0.663211023251532,73,-0.798524405897527,0.0142857142857143
"Kambo & Kotanen 2014","Biological Invasions",2014,2010,3.1,"Data from Figure 2","Hole Damage (proportion)","Herbivory","Arctium minus","Non-native","Defoliators",-0.581665802602361,79,-0.664976623843943,0.0131578947368421
"Kambo & Kotanen 2014","Biological Invasions",2014,2010,3.1,"Data from Figure 2(a)","Serpentine Damage","Herbivory","Arctium minus","Non-native","Miners",-0.330536703858348,32,-0.343430667857304,0.0344827586206897
"Kambo & Kotanen 2014","Biological Invasions",2014,2010,3.1,"Data from Figure 3","Total Blotch Mines","Herbivore abundance","Arctium minus","Non-native","Miners",-0.35065768899626,33,-0.366193454207313,0.0333333333333333
"Kambo & Kotanen 2014","Biological Invasions",2014,2010,3.1,"Data from Figure 3","Total Serpentine Mines","Herbivore abundance","Arctium minus","Non-native","Miners",-0.352999147952252,35,-0.368865693501365,0.03125
"Kambo & Kotanen 2014","Biological Invasions",2014,2010,3.1,"Data from Figure 4","Seed Herbivory","Herbivory","Arctium minus","Non-native","Seed feeders",-0.764959442415324,51,-1.00806245279108,0.0208333333333333
"Katz & Ibanez 2016","Biological Invasions",2016,2010,3.1,"Data from Figure 1","Foliar damage","Herbivory","Berberis thunbergii","Non-native","All folivores",0.735809993033968,5,0.941280435293474,0.5
"Katz & Ibanez 2016","Biological Invasions",2016,2010,3.1,"Data from Figure 1","Foliar damage","Herbivory","Celastrus orbiculatus","Non-native","All folivores",0.603818856097213,5,0.699135654340013,0.5
"Katz & Ibanez 2016","Biological Invasions",2016,2010,3.1,"Data from Figure 1","Foliar damage","Herbivory","Elaeagnus umbellata","Non-native","All folivores",0.94441740418997,5,1.77742377440379,0.5
"Kent et al. 2020","Ecology and Evolution",2020,2015,2.9,"Data from Raw data","herbavg","Herbivory","Andropogon gerardii","Native","Defoliators",-0.100666947879941,130,-0.101009077948395,0.0078740157480315
"Kent et al. 2020","Ecology and Evolution",2020,2015,2.9,"Data from Raw data","herbavg","Herbivory","Bouteloua dactyloides","Native","Defoliators",-0.221653815484472,102,-0.225394706879363,0.0101010101010101
"Kent et al. 2020","Ecology and Evolution",2020,2015,2.9,"Data from Raw data","herbavg","Herbivory","Bouteloua eriopoda","Native","Defoliators",-0.0187361990483226,104,-0.0187383919275192,0.0099009900990099
"Kent et al. 2020","Ecology and Evolution",2020,2015,2.9,"Data from Raw data","herbavg","Herbivory","Bouteloua gracilis","Native","Defoliators",-0.229936790422125,257,-0.234122727652935,0.00393700787401575
"Kent et al. 2020","Ecology and Evolution",2020,2015,2.9,"Data from Raw data","herbavg","Herbivory","Schizachyrium scoparium","Native","Defoliators",0.00178701447680988,205,0.00178701637904322,0.00495049504950495
"Kim 2014","Oikos",2014,2008,3.6,"Data from Figure 3","Abundance (number of individuals)_Coleoptera","Herbivore abundance","Solanum carolinense","Native","Defoliators",0.130699320199485,6,0.131451257813131,0.333333333333333
"Kim 2014","Oikos",2014,2008,3.6,"Data from Figure 3","Abundance (number of individuals)_Coleoptera","Herbivore abundance","Solidago altissima","Native","Defoliators",0.721440138095238,6,0.91064176439672,0.333333333333333
"Kim 2014","Oikos",2014,2008,3.6,"Data from Figure 3","Abundance (number of individuals)_Gallers","Herbivore abundance","Solidago altissima","Native","Gallers",0.53993951825838,6,0.604070228945555,0.333333333333333
"Kim 2014","Oikos",2014,2008,3.6,"Data from Figure 3","Abundance (number of individuals)_Hemiptera","Herbivore abundance","Solanum carolinense","Native","Sap feeders",-0.755914803411256,6,-0.986613962451184,0.333333333333333
"Kim 2014","Oikos",2014,2008,3.6,"Data from Figure 3","Abundance (number of individuals)_Hemiptera","Herbivore abundance","Solidago altissima","Native","Sap feeders",-0.351708036021267,6,-0.367391563509299,0.333333333333333
"Kim 2014","Oikos",2014,2008,3.6,"Data from Figure 3","Abundance (number of individuals)_Lepidoptera","Herbivore abundance","Solanum carolinense","Native","Defoliators",-0.73438481345249,6,-0.938179730445871,0.333333333333333
"Kim 2014","Oikos",2014,2008,3.6,"Data from Figure 3","Abundance (number of individuals)_Lepidoptera","Herbivore abundance","Solidago altissima","Native","Defoliators",-0.669819320195682,6,-0.810415344435216,0.333333333333333
"Kim 2014","Oikos",2014,2008,3.6,"Data from Figure 3","Abundance (number of individuals)_Orthoptera","Herbivore abundance","Solidago altissima","Native","Defoliators",-0.0352693961744798,6,-0.0352840313226942,0.333333333333333
"Kim 2014","Oikos",2014,2008,3.6,"Data from Figure 4","Cumulative leaf damage (%)","Herbivory","Solanum carolinense","Native","Defoliators",-0.570994160993799,18,-0.64899669596569,0.0666666666666667
"Kim 2014","Oikos",2014,2008,3.6,"Data from Figure 4","Cumulative leaf damage (%)","Herbivory","Solidago altissima","Native","Defoliators",0.433748572054012,18,0.464504736969118,0.0666666666666667
"Koop 2004","Florida Scientist",2004,2000,NA,"Data from Figure 2","Percent Herbivory","Herbivory","Ardisia elliptica","Non-native","Defoliators",0.0327701908012758,7,0.0327819288419327,0.25
"Koop 2004","Florida Scientist",2004,2000,NA,"Data from Figure 2","Percent Herbivory","Herbivory","Ardisia escallonioides","Native","Defoliators",-0.828165690412387,7,-1.18226884600045,0.25
"Kozlov 2008","Climatic Change",2008,2004,5.4,"Data from Figure 2","Loss of leaf area (%)","Herbivory","Betula pendula","Native","Defoliators",0.26486133889422,25,0.271329322822888,0.0454545454545455
"Kozlov 2008","Climatic Change",2008,2004,5.4,"Data from Figure 2","Loss of leaf area (%)","Herbivory","Betula pubescens","Native","Defoliators",-0.62642439338386,55,-0.735509424576723,0.0192307692307692
"Kozlov et al. 2009","Environmental Pollution",2009,NA,8.071,"Data from Kozlov et al. 2015c Global Ecology and Biogeography Appendix S3","Losses","Herbivory","Betula pubescens","Native","Defoliators",-0.776014093666099,6,-1.03527186371002,0.333333333333333
"Kozlov et al. 2009","Environmental Pollution",2009,NA,8.071,"Data from Kozlov et al. 2015c Global Ecology and Biogeography Appendix S3","Losses","Herbivory","Salix caprea","Native","Defoliators",-0.394875003380438,4,-0.417562522127912,1
"Kozlov et al. 2013","Ecography",2013,2008,6.4,"Data from Figure 3","Abundance, mines/kg offoliage_F, 2008","Herbivore abundance","Betula pendula","Native","Miners",-0.241693148307026,8,-0.246571524075475,0.2
"Kozlov et al. 2013","Ecography",2013,2008,6.4,"Data from Figure 3","Abundance, mines/kg offoliage_F, 2008","Herbivore abundance","Betula pubescens","Native","Miners",-0.634175114325138,9,-0.748369337161065,0.166666666666667
"Kozlov et al. 2013","Ecography",2013,2008,6.4,"Data from Figure 3","Abundance, mines/kg offoliage_R, 2008","Herbivore abundance","Betula pendula","Native","Miners",-0.741690839152577,9,-0.954227250806932,0.166666666666667
"Kozlov et al. 2013","Ecography",2013,2008,6.4,"Data from Figure 3","Abundance, mines/kg offoliage_R, 2008","Herbivore abundance","Betula pubescens","Native","Miners",-0.906815542129345,10,-1.5093044637265,0.142857142857143
"Kozlov et al. 2013","Ecography",2013,2009,6.4,"Data from Figure 3","Abundance, mines/kg offoliage_K, 2009","Herbivore abundance","Betula pendula","Native","Miners",-0.750920250477342,8,-0.975061830862446,0.2
"Kozlov et al. 2013","Ecography",2013,2009,6.4,"Data from Figure 3","Abundance, mines/kg offoliage_K, 2009","Herbivore abundance","Betula pubescens","Native","Miners",-0.815065628280129,10,-1.14193794509843,0.142857142857143
"Kozlov et al. 2013","Ecography",2013,2009,6.4,"Data from Figure 3","Abundance, mines/kg offoliage_R, 2009","Herbivore abundance","Betula pendula","Native","Miners",-0.83020610261956,9,-1.18879926534461,0.166666666666667
"Kozlov et al. 2013","Ecography",2013,2009,6.4,"Data from Figure 3","Abundance, mines/kg offoliage_R, 2009","Herbivore abundance","Betula pubescens","Native","Miners",-0.764730184382524,10,-1.00751004027869,0.142857142857143
"Kozlov et al. 2013","Ecography",2013,2010,6.4,"Data from Figure 3","Abundance, mines/kg offoliage_A, 2010","Herbivore abundance","Betula pendula","Native","Miners",0.930608892044861,9,1.6629159941965,0.166666666666667
"Kozlov et al. 2013","Ecography",2013,2010,6.4,"Data from Figure 3","Abundance, mines/kg offoliage_A, 2010","Herbivore abundance","Betula pubescens","Native","Miners",0.314477668370524,10,0.325506789863278,0.142857142857143
"Kozlov et al. 2013","Ecography",2013,2010,6.4,"Data from Figure 3","Abundance, mines/kg offoliage_R, 2010","Herbivore abundance","Betula pendula","Native","Miners",-0.120303785217834,9,-0.120889263457069,0.166666666666667
"Kozlov et al. 2013","Ecography",2013,2010,6.4,"Data from Figure 3","Abundance, mines/kg offoliage_R, 2010","Herbivore abundance","Betula pubescens","Native","Miners",-0.262019502015893,10,-0.26827554874382,0.142857142857143
"Kozlov et al. 2013","Ecography",2013,2011,6.4,"Data from Figure 3","Abundance, mines/kg offoliage_N, 2011","Herbivore abundance","Betula pendula","Native","Miners",-0.863116825441084,3,-1.30543912763891,1
"Kozlov et al. 2013","Ecography",2013,2011,6.4,"Data from Figure 3","Abundance, mines/kg offoliage_N, 2011","Herbivore abundance","Betula pubescens","Native","Miners",-0.459164756834503,10,-0.496252387729565,0.142857142857143
"Kozlov et al. 2013","Ecography",2013,2011,6.4,"Data from Figure 3","Abundance, mines/kg offoliage_R, 2011","Herbivore abundance","Betula pendula","Native","Miners",-0.00502106238130183,9,-0.00502110457738755,0.166666666666667
"Kozlov et al. 2013","Ecography",2013,2011,6.4,"Data from Figure 3","Abundance, mines/kg offoliage_R, 2011","Herbivore abundance","Betula pubescens","Native","Miners",-0.679209835881005,10,-0.827645705462125,0.142857142857143
"Kozlov et al. 2015a","Polar Biology",2015,2013,1.9,"Data from Table 2","Foliar damage (%), mean ± SE_Betula nana_Defoliators_DL","Herbivory","Betula nana","Native","Defoliators",-0.416276227442318,3,-0.4431792261849,1
"Kozlov et al. 2015a","Polar Biology",2015,2013,1.9,"Data from Table 2","Foliar damage (%), mean ± SE_Betula nana_Defoliators_LA","Herbivory","Betula nana","Native","Defoliators",-0.0975281365994793,3,-0.0978391340899312,1
"Kozlov et al. 2015a","Polar Biology",2015,2013,1.9,"Data from Table 2","Foliar damage (%), mean ± SE_Betula pubescens_Defoliators_DL","Herbivory","Betula pubescens","Native","Defoliators",0.946178090295757,3,1.79397107340041,1
"Kozlov et al. 2015a","Polar Biology",2015,2013,1.9,"Data from Table 2","Foliar damage (%), mean ± SE_Betula pubescens_Defoliators_LA","Herbivory","Betula pubescens","Native","Defoliators",0.810362472708611,3,1.1280839331938,1
"Kozlov et al. 2015a","Polar Biology",2015,2013,1.9,"Data from Table 2","Foliar damage (%), mean ± SE_Betula pubescens_Miners_DL","Herbivory","Betula pubescens","Native","Miners",0.369596108443041,3,0.387955226160813,1
"Kozlov et al. 2015a","Polar Biology",2015,2013,1.9,"Data from Table 2","Foliar damage (%), mean ± SE_Betula pubescens_Miners_LA","Herbivory","Betula pubescens","Native","Miners",0.527683036448626,3,0.586928609086632,1
"Kozlov et al. 2015a","Polar Biology",2015,2013,1.9,"Data from Table 2","Foliar damage (%), mean ± SE_Salix lanata_Defoliators_DL","Herbivory","Salix lanata","Native","Defoliators",-0.744958754223173,4,-0.961530458792916,1
"Kozlov et al. 2015a","Polar Biology",2015,2013,1.9,"Data from Table 2","Foliar damage (%), mean ± SE_Salix lanata_Defoliators_LA","Herbivory","Salix lanata","Native","Defoliators",-0.830326235134847,4,-1.18918596868248,1
"Kozlov et al. 2015a","Polar Biology",2015,2013,1.9,"Data from Table 2","Foliar damage (%), mean ± SE_Salix lanata_Gallers_DL","Herbivory","Salix lanata","Native","Gallers",-0.827210767002991,4,-1.17923668334249,1
"Kozlov et al. 2015a","Polar Biology",2015,2013,1.9,"Data from Table 2","Foliar damage (%), mean ± SE_Salix lanata_Gallers_LA","Herbivory","Salix lanata","Native","Gallers",-0.827210767002991,4,-1.17923668334249,1
"Kozlov et al. 2015a","Polar Biology",2015,2013,1.9,"Data from Table 2","Foliar damage (%), mean ± SE_Salix myrtilloides_Defoliators_DL","Herbivory","Salix myrtilloides","Native","Defoliators",0.996311676384902,3,3.14694227260072,1
"Kozlov et al. 2015a","Polar Biology",2015,2013,1.9,"Data from Table 2","Foliar damage (%), mean ± SE_Salix myrtilloides_Defoliators_LA","Herbivory","Salix myrtilloides","Native","Defoliators",0.574048884166929,3,0.653540948830476,1
"Kozlov et al. 2015a","Polar Biology",2015,2013,1.9,"Data from Table 2","Foliar damage (%), mean ± SE_Salix myrtilloides_Gallers_DL","Herbivory","Salix myrtilloides","Native","Gallers",0.000588132600287491,3,0.000588132668099185,1
"Kozlov et al. 2015a","Polar Biology",2015,2013,1.9,"Data from Table 2","Foliar damage (%), mean ± SE_Salix myrtilloides_Gallers_LA","Herbivory","Salix myrtilloides","Native","Gallers",0.00058813260028752,3,0.000588132668099214,1
"Kozlov et al. 2015a","Polar Biology",2015,2013,1.9,"Data from Table 2","Foliar damage (%), mean ± SE_Salix phylicifolia_Defoliators_DL","Herbivory","Salix phylicifolia","Native","Defoliators",-0.937243522940555,4,-1.71487979222637,1
"Kozlov et al. 2015a","Polar Biology",2015,2013,1.9,"Data from Table 2","Foliar damage (%), mean ± SE_Salix phylicifolia_Defoliators_LA","Herbivory","Salix phylicifolia","Native","Defoliators",-0.836000119168334,4,-1.20773946744959,1
"Kozlov et al. 2015a","Polar Biology",2015,2013,1.9,"Data from Table 2","Foliar damage (%), mean ± SE_Vaccinium myrtillus_Defoliators_DL","Herbivory","Vaccinium myrtillus","Native","Defoliators",-0.00633062344126512,3,-0.00633070801366083,1
"Kozlov et al. 2015a","Polar Biology",2015,2013,1.9,"Data from Table 2","Foliar damage (%), mean ± SE_Vaccinium myrtillus_Defoliators_LA","Herbivory","Vaccinium myrtillus","Native","Defoliators",0.328342988837101,3,0.340969880623222,1
"Kozlov et al. 2015c","Global Ecology and Biogeography",2015,2015,7.7,"Data from Appendix S3","Leaves damaged (%)","Herbivory","Acer rubrum","Native","All folivores",0.421199658954078,4,0.449149520094995,1
"Kozlov et al. 2015c","Global Ecology and Biogeography",2015,2015,7.7,"Data from Appendix S3","Leaves damaged (%)","Herbivory","Acer rubrum","Native","Defoliators",0.112946143190373,4,0.113430131417206,1
"Kozlov et al. 2015c","Global Ecology and Biogeography",2015,2015,7.7,"Data from Appendix S3","Leaves damaged (%)","Herbivory","Acer rubrum","Native","Gallers",0.303266347810487,4,0.313112882155995,1
"Kozlov et al. 2015c","Global Ecology and Biogeography",2015,2015,7.7,"Data from Appendix S3","Leaves damaged (%)","Herbivory","Acer rubrum","Native","Miners",-0.178772462991891,4,-0.180714336579691,1
"Kozlov et al. 2015c","Global Ecology and Biogeography",2015,2015,7.7,"Data from Appendix S3","Leaves damaged (%)","Herbivory","Alnus incana","Native","All folivores",-0.849858125360874,6,-1.25564177406498,0.333333333333333
"Kozlov et al. 2015c","Global Ecology and Biogeography",2015,2015,7.7,"Data from Appendix S3","Leaves damaged (%)","Herbivory","Alnus incana","Native","Defoliators",-0.841376019324295,6,-1.22586595384413,0.333333333333333
"Kozlov et al. 2015c","Global Ecology and Biogeography",2015,2015,7.7,"Data from Appendix S3","Leaves damaged (%)","Herbivory","Alnus incana","Native","Gallers",-0.0340560923253902,6,-0.0340692677783744,0.333333333333333
"Kozlov et al. 2015c","Global Ecology and Biogeography",2015,2015,7.7,"Data from Appendix S3","Leaves damaged (%)","Herbivory","Alnus incana","Native","Miners",-0.592233208409183,6,-0.68109871081185,0.333333333333333
"Kozlov et al. 2015c","Global Ecology and Biogeography",2015,2015,7.7,"Data from Appendix S3","Leaves damaged (%)","Herbivory","Alnus viridis","Native","All folivores",-0.570206185822187,5,-0.647828313245469,0.5
"Kozlov et al. 2015c","Global Ecology and Biogeography",2015,2015,7.7,"Data from Appendix S3","Leaves damaged (%)","Herbivory","Alnus viridis","Native","Defoliators",-0.588155161400758,5,-0.674840836325137,0.5
"Kozlov et al. 2015c","Global Ecology and Biogeography",2015,2015,7.7,"Data from Appendix S3","Leaves damaged (%)","Herbivory","Alnus viridis","Native","Gallers",0.0125549955735287,5,0.0125556553085123,0.5
"Kozlov et al. 2015c","Global Ecology and Biogeography",2015,2015,7.7,"Data from Appendix S3","Leaves damaged (%)","Herbivory","Alnus viridis","Native","Miners",-0.0743660538261587,5,-0.0745035996274169,0.5
"Kozlov et al. 2015c","Global Ecology and Biogeography",2015,2015,7.7,"Data from Appendix S3","Leaves damaged (%)","Herbivory","Betula nana","Native","All folivores",-0.686394002999233,4,-0.841105195430926,1
"Kozlov et al. 2015c","Global Ecology and Biogeography",2015,2015,7.7,"Data from Appendix S3","Leaves damaged (%)","Herbivory","Betula nana","Native","Defoliators",-0.686394002999233,4,-0.841105195430926,1
"Kozlov et al. 2015c","Global Ecology and Biogeography",2015,2015,7.7,"Data from Appendix S3","Leaves damaged (%)","Herbivory","Betula pendula","Native","All folivores",-0.562978808310528,13,-0.637183542249284,0.1
"Kozlov et al. 2015c","Global Ecology and Biogeography",2015,2015,7.7,"Data from Appendix S3","Leaves damaged (%)","Herbivory","Betula pendula","Native","Defoliators",-0.517403553320882,13,-0.572787587161854,0.1
"Kozlov et al. 2015c","Global Ecology and Biogeography",2015,2015,7.7,"Data from Appendix S3","Leaves damaged (%)","Herbivory","Betula pendula","Native","Gallers",0.372376595934715,13,0.391179472959088,0.1
"Kozlov et al. 2015c","Global Ecology and Biogeography",2015,2015,7.7,"Data from Appendix S3","Leaves damaged (%)","Herbivory","Betula pendula","Native","Miners",-0.398952271151516,13,-0.422402255288398,0.1
"Kozlov et al. 2015c","Global Ecology and Biogeography",2015,2015,7.7,"Data from Appendix S3","Leaves damaged (%)","Herbivory","Betula platyphylla","Native","All folivores",0.518796579329087,8,0.574691741717112,0.2
"Kozlov et al. 2015c","Global Ecology and Biogeography",2015,2015,7.7,"Data from Appendix S3","Leaves damaged (%)","Herbivory","Betula platyphylla","Native","Defoliators",0.246229203891113,8,0.251394648166931,0.2
"Kozlov et al. 2015c","Global Ecology and Biogeography",2015,2015,7.7,"Data from Appendix S3","Leaves damaged (%)","Herbivory","Betula platyphylla","Native","Gallers",0.255536469434774,8,0.261327180063328,0.2
"Kozlov et al. 2015c","Global Ecology and Biogeography",2015,2015,7.7,"Data from Appendix S3","Leaves damaged (%)","Herbivory","Betula platyphylla","Native","Miners",0.350829239300352,8,0.366389069268185,0.2
"Kozlov et al. 2015c","Global Ecology and Biogeography",2015,2015,7.7,"Data from Appendix S3","Leaves damaged (%)","Herbivory","Betula pubescens","Native","All folivores",-0.910875168692396,10,-1.53263931681526,0.142857142857143
"Kozlov et al. 2015c","Global Ecology and Biogeography",2015,2015,7.7,"Data from Appendix S3","Leaves damaged (%)","Herbivory","Betula pubescens","Native","Defoliators",-0.802495960424527,10,-1.10558429519096,0.142857142857143
"Kozlov et al. 2015c","Global Ecology and Biogeography",2015,2015,7.7,"Data from Appendix S3","Leaves damaged (%)","Herbivory","Betula pubescens","Native","Gallers",-0.69266435857207,10,-0.85305933254064,0.142857142857143
"Kozlov et al. 2015c","Global Ecology and Biogeography",2015,2015,7.7,"Data from Appendix S3","Leaves damaged (%)","Herbivory","Betula pubescens","Native","Miners",-0.483861451314993,10,-0.528013911538642,0.142857142857143
"Kozlov et al. 2015c","Global Ecology and Biogeography",2015,2015,7.7,"Data from Appendix S3","Leaves damaged (%)","Herbivory","Carpinus betulus","Native","All folivores",0.446494651681936,4,0.480313506081363,1
"Kozlov et al. 2015c","Global Ecology and Biogeography",2015,2015,7.7,"Data from Appendix S3","Leaves damaged (%)","Herbivory","Carpinus betulus","Native","Defoliators",0.417268016628972,4,0.444379502318921,1
"Kozlov et al. 2015c","Global Ecology and Biogeography",2015,2015,7.7,"Data from Appendix S3","Leaves damaged (%)","Herbivory","Carpinus betulus","Native","Gallers",-0.241170466643964,4,-0.246016489829151,1
"Kozlov et al. 2015c","Global Ecology and Biogeography",2015,2015,7.7,"Data from Appendix S3","Leaves damaged (%)","Herbivory","Carpinus betulus","Native","Miners",0.472278803394887,4,0.512999289160625,1
"Kozlov et al. 2015c","Global Ecology and Biogeography",2015,2015,7.7,"Data from Appendix S3","Leaves damaged (%)","Herbivory","Corylus avellana","Native","All folivores",0.681556425747981,3,0.832014894498723,1
"Kozlov et al. 2015c","Global Ecology and Biogeography",2015,2015,7.7,"Data from Appendix S3","Leaves damaged (%)","Herbivory","Corylus avellana","Native","Defoliators",0.657175534009511,3,0.787825695716321,1
"Kozlov et al. 2015c","Global Ecology and Biogeography",2015,2015,7.7,"Data from Appendix S3","Leaves damaged (%)","Herbivory","Corylus avellana","Native","Miners",0.0158476938209756,3,0.0158490207338619,1
"Kozlov et al. 2015c","Global Ecology and Biogeography",2015,2015,7.7,"Data from Appendix S3","Leaves damaged (%)","Herbivory","Cotoneaster melanocarpus","Native","All folivores",0.757426107053869,3,0.990149600654265,1
