"Reference","Journal_name","Publication_year","Experiment_year","IF","Data_details","Variable_name","Variable_identity","Plant_species","Plant_status","Herbivore_feeding_guild","cor","n","zr","var"
"Baskett et al. 2020","Ecological Monographs",2020,2017,9,"Data from Dryad","Herbivory rate_mature","Herbivory","Phytolacca americana","Native","Defoliators",-0.103563019532591,175,-0.103935668669408,0.00581395348837209
"Baskett et al. 2020","Ecological Monographs",2020,2017,9,"Data from Dryad","Herbivory rate_mature","Herbivory","Phytolacca rivinoides","Native","Defoliators",0.0438138959561297,158,0.043841964183075,0.00645161290322581
"Baskett et al. 2020","Ecological Monographs",2020,2017,9,"Data from Dryad","Herbivory rate_young","Herbivory","Phytolacca americana","Native","Defoliators",-0.224427300326445,175,-0.22831338997612,0.00581395348837209
"Baskett et al. 2020","Ecological Monographs",2020,2017,9,"Data from Dryad","Herbivory rate_young","Herbivory","Phytolacca rivinoides","Native","Defoliators",0.40489329882375,166,0.429487957905156,0.00613496932515337
"Bravo-Monzon et al. 2014","Oecologia",2014,2009,2.8,"Data from Figure 1","Herbivore damage (%)","Herbivory","Mikania micrantha","Native","All folivores",0.0941683582923644,14,0.094448200351224,0.0909090909090909
"Castilla et al. 2013","Acta Oecologica-International Journal of Ecology",2013,2007,1.6,"Data from Figure 2","% Leaf area removed_2007","Herbivory","Daphne laureola","Native","Defoliators",0.0467643555874547,6,0.046798490121678,0.333333333333333
"Castilla et al. 2013","Acta Oecologica-International Journal of Ecology",2013,2009,1.6,"Data from Figure 2","% Leaf area removed_2009","Herbivory","Daphne laureola","Native","Defoliators",-0.101090112587703,6,-0.101436593262934,0.333333333333333
"Cincotta et al. 2009","Biological Invasion",2009,2005,3.1,"Data from Figure 1","Mean % Leaf Area Loss","Herbivory","Acer platanoides","Non-native","All folivores",-0.507540156963632,6,-0.559410823029609,0.333333333333333
"Cincotta et al. 2009","Biological Invasion",2009,2005,3.1,"Data from Figure 1","Mean % Leaf Area Loss","Herbivory","Acer saccharum","Native","All folivores",-0.779954067991972,6,-1.04525326601958,0.333333333333333
"Cincotta et al. 2009","Biological Invasion",2009,2006,3.1,"Data from Figure 2","Mean % Leaf Area Loss_2006_July","Herbivory","Acer platanoides","Non-native","All folivores",0.581035051589173,6,0.66402387320155,0.333333333333333
"Cincotta et al. 2009","Biological Invasion",2009,2006,3.1,"Data from Figure 2","Mean % Leaf Area Loss_2006_July","Herbivory","Acer saccharum","Native","All folivores",0.407848332995708,6,0.433027508268648,0.333333333333333
"Cincotta et al. 2009","Biological Invasion",2009,2006,3.1,"Data from Figure 2","Mean % Leaf Area Loss_2006_May","Herbivory","Acer platanoides","Non-native","All folivores",0.688429454233617,6,0.844964137532944,0.333333333333333
"Cincotta et al. 2009","Biological Invasion",2009,2006,3.1,"Data from Figure 2","Mean % Leaf Area Loss_2006_May","Herbivory","Acer saccharum","Native","All folivores",0.888315724472418,6,1.41388231882647,0.333333333333333
"Cronin et al. 2015","Ecology",2015,2012,5.5,"Data from Figure 2F","ln(prop. leaf area chewed) residuals","Herbivory","Phragmites australis","Native","Defoliators",-0.787901177516008,22,-1.06587268725362,0.0526315789473684
"Cronin et al. 2015","Ecology",2015,2012,5.5,"Data from Figure 2F","ln(prop. leaf area chewed) residuals","Herbivory","Phragmites australis","Non-native","Defoliators",-0.12465420741482,28,-0.12530594819378,0.04
"Cronin et al. 2015","Ecology",2015,2012,5.5,"Data from Figure 2G","ln(stem-feeder incidence) residuals","Herbivory","Phragmites australis","Native","Stem feeders",-0.796718491511727,25,-1.08956273004529,0.0454545454545455
"Cronin et al. 2015","Ecology",2015,2012,5.5,"Data from Figure 2G","ln(stem-feeder incidence) residuals","Herbivory","Phragmites australis","Non-native","Stem feeders",-0.00404064175763136,29,-0.00404066374807762,0.0384615384615385
"Cronin et al. 2015","Ecology",2015,2012,5.5,"Data from Figure 2H","ln(aphids per stem) residuals","Herbivore abundance","Phragmites australis","Native","Sap feeders",0.484104617459085,12,0.52833146013537,0.111111111111111
"Cronin et al. 2015","Ecology",2015,2012,5.5,"Data from Figure 2H","ln(aphids per stem) residuals","Herbivore abundance","Phragmites australis","Non-native","Sap feeders",0.108303579160229,15,0.10873003945983,0.0833333333333333
"Cronin et al. 2015","Ecology",2015,2012,5.5,"Data from Figure 3F","ln(prop. leaf area chewed) residuals","Herbivory","Phragmites australis","Native","Defoliators",-0.466126528637121,21,-0.505110160803909,0.0555555555555556
"Cronin et al. 2015","Ecology",2015,2012,5.5,"Data from Figure 3F","ln(prop. leaf area chewed) residuals","Herbivory","Phragmites australis","Non-native","Defoliators",-0.121580507241523,30,-0.122184937494901,0.037037037037037
"Cronin et al. 2015","Ecology",2015,2012,5.5,"Data from Figure 3G","ln(stem-feeder incidence) residuals","Herbivory","Phragmites australis","Native","Stem feeders",-0.305880455316509,40,-0.315994285203622,0.027027027027027
"Cronin et al. 2015","Ecology",2015,2012,5.5,"Data from Figure 3G","ln(stem-feeder incidence) residuals","Herbivory","Phragmites australis","Non-native","Stem feeders",-0.0260160027090484,30,-0.026021874584956,0.037037037037037
"Cronin et al. 2015","Ecology",2015,2012,5.5,"Data from Figure 3H","ln(aphids per stem) residuals","Herbivore abundance","Phragmites australis","Native","Sap feeders",-0.0726761448596905,18,-0.0728045060488478,0.0666666666666667
"Cronin et al. 2015","Ecology",2015,2012,5.5,"Data from Figure 3H","ln(aphids per stem) residuals","Herbivore abundance","Phragmites australis","Non-native","Sap feeders",-0.209601961017333,13,-0.212754980624495,0.1
"Dangremond & Feller 2014","Aquatic Botany",2014,2012,2.467,"Data from Kozlov et al. 2015c Global Ecology and Biogeography Appendix S3","Losses","Herbivory","Pelliciera rhizophorae","Native","All folivores",-0.136019309612001,8,-0.136867588784088,0.2
"Fedriani et al. 2004","Oikos",2004,1999,3.99,"Data from Figure 1","% Fruit and flower losses_open","Herbivory","Helleborus foetidus","Native","Seed feeders",-0.832402941010474,3,-1.19591041345855,1
"Fedriani et al. 2004","Oikos",2004,1999,3.99,"Data from Figure 1","% Fruit and flower losses_woodland","Herbivory","Helleborus foetidus","Native","Seed feeders",-0.985590494456023,3,-2.46289176558555,1
"Feller et al. 2013","Ecosystem",2013,1999,3.9,"Data from Figure 2","Folivory (% leaf area damaged)_Fringe","Herbivory","Rhizophora mangle","Native","All folivores",0.651122596905682,3,0.777245058678789,1
"Feller et al. 2013","Ecosystem",2013,1999,3.9,"Data from Figure 2","Folivory (% leaf area damaged)_Scrub","Herbivory","Rhizophora mangle","Native","All folivores",0.704189476680666,3,0.875562885503281,1
"Feller et al. 2013","Ecosystem",2013,1999,3.9,"Data from Figure 2","Loss of Yield (% reduction in leaf area)_Fringe","Herbivory","Rhizophora mangle","Native","Defoliators",0.475994037035114,3,0.517791950621436,1
"Feller et al. 2013","Ecosystem",2013,1999,3.9,"Data from Figure 2","Loss of Yield (% reduction in leaf area)_Scrub","Herbivory","Rhizophora mangle","Native","Defoliators",0.95730387824624,3,1.91260757113114,1
"Garcia et al. 2001","Journal of Ecology",2001,1996,6.1,"Data from Figure 1","Avian frugivory","Herbivory","Juniperus communis","Native","Seed feeders",0.382925543374337,12,0.403483400653533,0.111111111111111
"Garcia et al. 2001","Journal of Ecology",2001,1996,6.1,"Data from Figure 1","Rodent predation","Herbivory","Juniperus communis","Native","Seed feeders",0.516465253717489,12,0.571507119160305,0.111111111111111
"Garibaldi et al. 2011","Global Ecology and Biogeography",2011,2007,7.7,"Data from Appendix S2","Total folivore density on Nothofagus pumilio forests","Herbivore abundance","Nothofagus pumilio","Native","All folivores",0.521372254598389,45,0.578222429920615,0.0238095238095238
"Garibaldi et al. 2011","Global Ecology and Biogeography",2011,2007,7.7,"Data from Figure 1","Leaf damage frequency","Herbivory","Nothofagus pumilio","Native","All folivores",0.793716738380969,46,1.0813974278024,0.0232558139534884
"Gaston et al. 2004","Journal of Animal Ecology",2004,2000,4.7,"Data from Figure 4(a)","Densities of oviposition","Herbivore abundance","Ilex aquifolium","Native","Miners",0.50373609520572,26,0.554300084577354,0.0434782608695652
"Gaston et al. 2004","Journal of Animal Ecology",2004,2000,4.7,"Data from Figure 4(b)","Mined leaves","Herbivory","Ilex aquifolium","Native","Miners",0.368454262174696,26,0.386633369805178,0.0434782608695652
